index,reconstruction_prob,anomaly_score
0,-0.10291095077991486,0.10291095077991486
1,-0.059934914112091064,0.059934914112091064
2,-0.06470595300197601,0.06470595300197601
3,-0.034293051809072495,0.034293051809072495
4,-0.080478735268116,0.080478735268116
5,-0.055010296404361725,0.055010296404361725
6,0.3120582103729248,-0.3120582103729248
7,0.39373689889907837,-0.39373689889907837
8,-0.42511647939682007,0.42511647939682007
9,-0.8215532302856445,0.8215532302856445
10,-1.4108390808105469,1.4108390808105469
11,-1.4547741413116455,1.4547741413116455
12,-1.2841262817382812,1.2841262817382812
13,-0.8614405393600464,0.8614405393600464
14,0.2960599362850189,-0.2960599362850189
15,0.06558100134134293,-0.06558100134134293
16,0.05387164279818535,-0.05387164279818535
17,-0.0220030490309,0.0220030490309
18,-0.08877719938755035,0.08877719938755035
19,-0.059110723435878754,0.059110723435878754
20,-0.04500143975019455,0.04500143975019455
21,0.010133488103747368,-0.010133488103747368
22,0.37984180450439453,-0.37984180450439453
23,0.348568856716156,-0.348568856716156
24,-0.014774012379348278,0.014774012379348278
25,0.14325673878192902,-0.14325673878192902
26,0.27579501271247864,-0.27579501271247864
27,0.29949867725372314,-0.29949867725372314
28,-0.020139113068580627,0.020139113068580627
29,-0.08404793590307236,0.08404793590307236
30,0.350487619638443,-0.350487619638443
31,0.058524418622255325,-0.058524418622255325
32,0.31980663537979126,-0.31980663537979126
33,0.30409595370292664,-0.30409595370292664
34,-0.05430672690272331,0.05430672690272331
35,-0.13351407647132874,0.13351407647132874
36,0.20395711064338684,-0.20395711064338684
37,-0.143387109041214,0.143387109041214
38,-0.09190282970666885,0.09190282970666885
39,0.3027989864349365,-0.3027989864349365
40,0.16395291686058044,-0.16395291686058044
41,0.17322419583797455,-0.17322419583797455
42,0.31830671429634094,-0.31830671429634094
43,0.32953983545303345,-0.32953983545303345
44,0.33101028203964233,-0.33101028203964233
45,0.08060657978057861,-0.08060657978057861
46,0.38257861137390137,-0.38257861137390137
47,0.07087267935276031,-0.07087267935276031
48,-0.14757177233695984,0.14757177233695984
49,-0.08933595567941666,0.08933595567941666
50,0.21297450363636017,-0.21297450363636017
51,0.34638744592666626,-0.34638744592666626
52,-0.05690562725067139,0.05690562725067139
53,0.32668381929397583,-0.32668381929397583
54,-0.11475031077861786,0.11475031077861786
55,0.01437369268387556,-0.01437369268387556
56,0.3149434030056,-0.3149434030056
57,0.3820933699607849,-0.3820933699607849
58,0.1253851354122162,-0.1253851354122162
59,-0.12093289196491241,0.12093289196491241
60,-0.14368918538093567,0.14368918538093567
61,-0.14491623640060425,0.14491623640060425
62,-0.2059568613767624,0.2059568613767624
63,-0.038536183536052704,0.038536183536052704
64,-0.16493040323257446,0.16493040323257446
65,-0.157028928399086,0.157028928399086
66,0.17806951701641083,-0.17806951701641083
67,-0.1674509346485138,0.1674509346485138
68,-0.16526761651039124,0.16526761651039124
69,-0.10138048976659775,0.10138048976659775
70,0.1667376458644867,-0.1667376458644867
71,0.20727047324180603,-0.20727047324180603
72,0.2950171232223511,-0.2950171232223511
73,0.20131215453147888,-0.20131215453147888
74,0.22568711638450623,-0.22568711638450623
75,0.30255126953125,-0.30255126953125
76,-0.07013547420501709,0.07013547420501709
77,0.33639177680015564,-0.33639177680015564
78,0.2791307270526886,-0.2791307270526886
79,0.33006829023361206,-0.33006829023361206
80,-0.07401883602142334,0.07401883602142334
81,0.3118329644203186,-0.3118329644203186
82,0.22365763783454895,-0.22365763783454895
83,0.270302414894104,-0.270302414894104
84,-0.14689095318317413,0.14689095318317413
85,-0.14017856121063232,0.14017856121063232
86,0.0871625766158104,-0.0871625766158104
87,-0.09843645989894867,0.09843645989894867
88,-0.16626563668251038,0.16626563668251038
89,-0.07069306820631027,0.07069306820631027
90,0.02774093672633171,-0.02774093672633171
91,-0.38778528571128845,0.38778528571128845
92,-1.0031216144561768,1.0031216144561768
93,-0.4475940763950348,0.4475940763950348
94,-0.13681411743164062,0.13681411743164062
95,-0.07051469385623932,0.07051469385623932
96,0.1087753176689148,-0.1087753176689148
97,0.36306411027908325,-0.36306411027908325
98,0.12756378948688507,-0.12756378948688507
99,-0.20635071396827698,0.20635071396827698
100,-0.15256159007549286,0.15256159007549286
101,-0.18620094656944275,0.18620094656944275
102,-0.1926654428243637,0.1926654428243637
103,-0.19539272785186768,0.19539272785186768
104,-0.14072558283805847,0.14072558283805847
105,-0.15941950678825378,0.15941950678825378
106,-0.07454182207584381,0.07454182207584381
107,0.09057318419218063,-0.09057318419218063
108,0.045952245593070984,-0.045952245593070984
109,0.31022244691848755,-0.31022244691848755
110,-0.1352517306804657,0.1352517306804657
111,-0.2296476811170578,0.2296476811170578
112,-0.20627450942993164,0.20627450942993164
113,-0.27119508385658264,0.27119508385658264
114,-0.10752991586923599,0.10752991586923599
115,-0.07530739158391953,0.07530739158391953
116,-0.1222350150346756,0.1222350150346756
117,-0.10418231785297394,0.10418231785297394
118,-0.1211225762963295,0.1211225762963295
119,0.1716734617948532,-0.1716734617948532
120,0.35478734970092773,-0.35478734970092773
121,0.13810639083385468,-0.13810639083385468
122,-0.05262989550828934,0.05262989550828934
123,-0.11516670882701874,0.11516670882701874
124,-0.284605473279953,0.284605473279953
125,-0.8938192129135132,0.8938192129135132
